Protein Group	SubGroup	Protein	Protein ID	Entry Name	Gene Names	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Unique Stripped Peptides	Summarized Total Spectral Count	Summarized Unique Spectral Count	Summarized Razor Spectral Count	qx017084_EGFP_1 Total Spectral Count	qx017084_EGFP_1 Unique Spectral Count	qx017084_EGFP_1 Razor Spectral Count	qx017084_EGFP_1 Total Intensity	qx017084_EGFP_1 Unique Intensity	qx017084_EGFP_1 Razor Intensity	qx017098_EGFP_2 Total Spectral Count	qx017098_EGFP_2 Unique Spectral Count	qx017098_EGFP_2 Razor Spectral Count	qx017098_EGFP_2 Total Intensity	qx017098_EGFP_2 Unique Intensity	qx017098_EGFP_2 Razor Intensity	qx017108_EGFP_4 Total Spectral Count	qx017108_EGFP_4 Unique Spectral Count	qx017108_EGFP_4 Razor Spectral Count	qx017108_EGFP_4 Total Intensity	qx017108_EGFP_4 Unique Intensity	qx017108_EGFP_4 Razor Intensity	qx017176_NSP2_1 Total Spectral Count	qx017176_NSP2_1 Unique Spectral Count	qx017176_NSP2_1 Razor Spectral Count	qx017176_NSP2_1 Total Intensity	qx017176_NSP2_1 Unique Intensity	qx017176_NSP2_1 Razor Intensity	qx017177_NSP2_2 Total Spectral Count	qx017177_NSP2_2 Unique Spectral Count	qx017177_NSP2_2 Razor Spectral Count	qx017177_NSP2_2 Total Intensity	qx017177_NSP2_2 Unique Intensity	qx017177_NSP2_2 Razor Intensity	qx017178_NSP2_3 Total Spectral Count	qx017178_NSP2_3 Unique Spectral Count	qx017178_NSP2_3 Razor Spectral Count	qx017178_NSP2_3 Total Intensity	qx017178_NSP2_3 Unique Intensity	qx017178_NSP2_3 Razor Intensity	Indistinguishable Proteins
296	a	sp|P62266|RS23_HUMAN	P62266	RS23_HUMAN	RPS23	143	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S23 	1	0.999	9	49	49	49	9	9	9	34323956	34323956	34323956	9	9	9	62362076	62362076	62362076	8	8	8	52007087	52007087	52007087	6	6	6	31271720	31271720	31271720	8	8	8	54793669	54793669	54793669	9	9	9	50546743	50546743	50546743	
297	a	sp|P62273|RS29_HUMAN	P62273	RS29_HUMAN	RPS29	56	60	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S29 	1	0.999	5	31	31	31	7	7	7	69852826	69852826	69852826	7	7	7	73639564	73639564	73639564	4	4	4	13235220	13235220	13235220	5	5	5	76037514	76037514	76037514	5	5	5	82084087	82084087	82084087	3	3	3	8915356	8915356	8915356	
298	a	sp|P62280|RS11_HUMAN	P62280	RS11_HUMAN	RPS11	158	61	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S11 	1	0.999	13	76	76	76	16	16	16	24132930	24132930	24132930	12	12	12	28089662	28089662	28089662	11	11	11	38249571	38249571	38249571	14	14	14	29442235	29442235	29442235	11	11	11	21682650	21682650	21682650	12	12	12	29449150	29449150	29449150	
299	a	sp|P62306|RUXF_HUMAN	P62306	RUXF_HUMAN	SNRPF	86	15	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein F 	1	0.999	1	5	5	5	1	1	1	314747	314747	314747	2	2	2	1463974	1463974	1463974	0	0	0	0	0	0	1	1	1	438354	438354	438354	0	0	0	0	0	0	1	1	1	323925	323925	323925	
300	a	sp|P62316|SMD2_HUMAN	P62316	SMD2_HUMAN	SNRPD2	118	28	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D2 	1	0.999	4	9	9	9	2	2	2	1069586	1069586	1069586	2	2	2	2844877	2844877	2844877	1	1	1	396017	396017	396017	3	3	3	2488962	2488962	2488962	0	0	0	0	0	0	1	1	1	343614	343614	343614	
301	a	sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D3 	1	0.999	3	4	4	4	1	1	1	376744	376744	376744	2	2	2	3691616	3691616	3691616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	747580	747580	747580	
302	a	sp|P62424|RL7A_HUMAN	P62424	RL7A_HUMAN	RPL7A	266	40	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L7a 	1	0.999	10	27	27	27	6	6	6	4232119	4232119	4232119	7	7	7	5005607	5005607	5005607	0	0	0	0	0	0	12	12	12	7400814	7400814	7400814	2	2	2	647843	647843	647843	0	0	0	0	0	0	
303	a	sp|P62633|CNBP_HUMAN	P62633	CNBP_HUMAN	CNBP	177	63	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cellular nucleic acid-binding protein 	1	0.999	10	78	78	78	14	14	14	40831929	40831929	40831929	10	10	10	42144276	42144276	42144276	10	10	10	13337062	13337062	13337062	16	16	16	39886666	39886666	39886666	14	14	14	60278856	60278856	60278856	14	14	14	46271984	46271984	46271984	
304	a	sp|P62750|RL23A_HUMAN	P62750	RL23A_HUMAN	RPL23A	156	51	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L23a 	1	0.999	13	66	66	66	12	12	12	13667781	13667781	13667781	12	12	12	22960741	22960741	22960741	16	16	16	25748568	25748568	25748568	9	9	9	19138239	19138239	19138239	10	10	10	16620581	16620581	16620581	7	7	7	8871464	8871464	8871464	
305	a	sp|P62753|RS6_HUMAN	P62753	RS6_HUMAN	RPS6	249	32	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S6 	1	0.999	9	33	33	33	7	7	7	5304436	5304436	5304436	6	6	6	8939964	8939964	8939964	5	5	5	2840109	2840109	2840109	6	6	6	9811482	9811482	9811482	5	5	5	2473268	2473268	2473268	4	4	4	4804710	4804710	4804710	
306	a	sp|P62805|H4_HUMAN	P62805	H4_HUMAN	H4C1	103	62	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H4 	1	0.999	13	71	71	71	19	19	19	265487904	265487904	265487904	12	12	12	141625288	141625288	141625288	2	2	2	895511	895511	895511	27	27	27	583969456	583969456	583969456	4	4	4	5484156	5484156	5484156	7	7	7	10591811	10591811	10591811	
307	a	sp|P62826|RAN_HUMAN	P62826	RAN_HUMAN	RAN	216	41	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding nuclear protein Ran 	1	0.999	9	24	24	24	5	5	5	4291094	4291094	4291094	4	4	4	5826371	5826371	5826371	3	3	3	1806886	1806886	1806886	5	5	5	3177474	3177474	3177474	4	4	4	4023003	4023003	4023003	3	3	3	1333850	1333850	1333850	
308	a	sp|P62829|RL23_HUMAN	P62829	RL23_HUMAN	RPL23	140	75	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L23 	1	0.999	12	96	96	96	13	13	13	57691781	57691781	57691781	11	11	11	96530253	96530253	96530253	18	18	18	98969628	98969628	98969628	19	19	19	59484148	59484148	59484148	19	19	19	77565908	77565908	77565908	16	16	16	72458392	72458392	72458392	
309	a	sp|P62841|RS15_HUMAN	P62841	RS15_HUMAN	RPS15	145	49	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S15 	1	0.999	5	27	27	27	3	3	3	4874954	4874954	4874954	2	2	2	5449328	5449328	5449328	4	4	4	26124639	26124639	26124639	6	6	6	4560054	4560054	4560054	7	7	7	5168120	5168120	5168120	5	5	5	3385394	3385394	3385394	
310	a	sp|P62847|RS24_HUMAN	P62847	RS24_HUMAN	RPS24	133	35	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S24 	1	0.999	6	61	61	61	9	9	9	15236900	15236900	15236900	8	8	8	14810391	14810391	14810391	12	12	12	29079224	29079224	29079224	10	10	10	8525633	8525633	8525633	13	13	13	11109562	11109562	11109562	9	9	9	14687948	14687948	14687948	
311	a	sp|P62851|RS25_HUMAN	P62851	RS25_HUMAN	RPS25	125	60	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S25 	1	0.999	11	61	61	61	10	10	10	128006416	128006416	128006416	10	10	10	181803720	181803720	181803720	8	8	8	87656526	87656526	87656526	10	10	10	232737752	232737752	232737752	12	12	12	334976784	334976784	334976784	11	11	11	142627004	142627004	142627004	
312	a	sp|P62857|RS28_HUMAN	P62857	RS28_HUMAN	RPS28	69	56	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S28 	1	0.999	5	29	29	29	4	4	4	23999420	23999420	23999420	4	4	4	27524580	27524580	27524580	4	4	4	16184094	16184094	16184094	4	4	4	40292882	40292882	40292882	7	7	7	41062595	41062595	41062595	6	6	6	38950570	38950570	38950570	
313	a	sp|P62861|RS30_HUMAN	P62861	RS30_HUMAN	FAU	59	45	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S30 	1	0.999	6	38	38	38	6	6	6	77675733	77675733	77675733	6	6	6	91257488	91257488	91257488	7	7	7	92554784	92554784	92554784	5	5	5	62214510	62214510	62214510	7	7	7	71264760	71264760	71264760	7	7	7	72376978	72376978	72376978	
314	a	sp|P62888|RL30_HUMAN	P62888	RL30_HUMAN	RPL30	115	67	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L30 	1	0.999	9	69	69	69	11	11	11	23671762	23671762	23671762	10	10	10	33330592	33330592	33330592	9	9	9	17435601	17435601	17435601	15	15	15	38566965	38566965	38566965	12	12	12	19268288	19268288	19268288	12	12	12	33310918	33310918	33310918	
315	a	sp|P62891|RL39_HUMAN	P62891	RL39_HUMAN	RPL39	51	23	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L39 	1	0.999	2	17	17	17	4	4	4	30063829	30063829	30063829	3	3	3	36126125	36126125	36126125	3	3	3	31547931	31547931	31547931	2	2	2	17212755	17212755	17212755	2	2	2	21554598	21554598	21554598	3	3	3	27051684	27051684	27051684	sp|Q59GN2|R39L5_HUMAN
316	a	sp|P62899|RL31_HUMAN	P62899	RL31_HUMAN	RPL31	125	53	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L31 	1	0.999	10	43	43	43	6	6	6	17145153	17145153	17145153	8	8	8	32916702	32916702	32916702	9	9	9	33072976	33072976	33072976	9	9	9	22749304	22749304	22749304	6	6	6	18662380	18662380	18662380	5	5	5	13083365	13083365	13083365	
317	a	sp|P62906|RL10A_HUMAN	P62906	RL10A_HUMAN	RPL10A	217	38	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L10a 	1	0.999	8	11	11	11	4	4	4	4102713	4102713	4102713	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6687583	6687583	6687583	0	0	0	0	0	0	1	1	1	265979	265979	265979	
318	a	sp|P62942|FKB1A_HUMAN	P62942	FKB1A_HUMAN	FKBP1A	108	45	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP1A 	1	0.999	4	33	33	33	7	7	7	11684007	11684007	11684007	6	6	6	15267902	15267902	15267902	6	6	6	8833542	8833542	8833542	4	4	4	8580437	8580437	8580437	5	5	5	8829593	8829593	8829593	5	5	5	14681433	14681433	14681433	
319	a	sp|P62993|GRB2_HUMAN	P62993	GRB2_HUMAN	GRB2	217	33	Homo sapiens OX=9606	1:Experimental evidence at protein level	Growth factor receptor-bound protein 2 	1	0.999	6	11	11	11	2	2	2	623290	623290	623290	2	2	2	1181397	1181397	1181397	0	0	0	0	0	0	2	2	2	529747	529747	529747	4	4	4	1397284	1397284	1397284	1	1	1	453066	453066	453066	
320	a	sp|P62995|TRA2B_HUMAN	P62995	TRA2B_HUMAN	TRA2B	288	20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transformer-2 protein homolog beta 	1	0.999	6	10	6	10	3	2	3	2340076	1914969	2340076	3	2	3	4820726	3533656	4820726	0	0	0	0	0	0	4	2	4	2362404	1137769	2362404	0	0	0	0	0	0	0	0	0	0	0	0	
321	a	sp|P63151|2ABA_HUMAN	P63151	2ABA_HUMAN	PPP2R2A	447	5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform 	1	0.999	2	2	2	2	0	0	0	0	0	0	1	1	1	343809	343809	343809	1	1	1	329218	329218	329218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
322	a	sp|P63173|RL38_HUMAN	P63173	RL38_HUMAN	RPL38	70	51	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L38 	1	0.999	6	121	121	121	19	19	19	242477716	242477716	242477716	23	23	23	315223324	315223324	315223324	21	21	21	296710212	296710212	296710212	17	17	17	165732176	165732176	165732176	22	22	22	295081796	295081796	295081796	19	19	19	284265772	284265772	284265772	
323	a	sp|P63220|RS21_HUMAN	P63220	RS21_HUMAN	RPS21	83	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S21 	1	0.999	5	9	9	9	2	2	2	5563050	5563050	5563050	3	3	3	3089406	3089406	3089406	2	2	2	307135	307135	307135	1	1	1	1728301	1728301	1728301	1	1	1	1940199	1940199	1940199	0	0	0	0	0	0	
324	a	sp|P78346|RPP30_HUMAN	P78346	RPP30_HUMAN	RPP30	268	8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonuclease P protein subunit p30 	1	0.999	2	8	8	8	1	1	1	418944	418944	418944	2	2	2	1288471	1288471	1288471	0	0	0	0	0	0	2	2	2	1388121	1388121	1388121	1	1	1	804393	804393	804393	2	2	2	918058	918058	918058	
325	a	sp|P78347|GTF2I_HUMAN	P78347	GTF2I_HUMAN	GTF2I	998	8	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription factor II-I 	1	0.999	7	18	16	16	3	2	2	1618156	915561	915561	4	4	4	5067844	5067844	5067844	4	4	4	2371691	2371691	2371691	2	2	2	601673	601673	601673	3	2	2	1318733	954772	954772	2	2	2	760362	760362	760362	
326	a	sp|P78371|TCPB_HUMAN	P78371	TCPB_HUMAN	CCT2	535	28	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit beta 	1	0.999	9	30	30	30	2	2	2	859099	859099	859099	4	4	4	2823643	2823643	2823643	3	3	3	1640269	1640269	1640269	6	6	6	1848688	1848688	1848688	7	7	7	10183254	10183254	10183254	8	8	8	3041963	3041963	3041963	
327	a	sp|P78549|NTH_HUMAN	P78549	NTH_HUMAN	NTHL1	312	30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endonuclease III-like protein 1 	1	0.999	6	30	30	30	5	5	5	1481712	1481712	1481712	3	3	3	1745705	1745705	1745705	6	6	6	2184624	2184624	2184624	5	5	5	2189136	2189136	2189136	6	6	6	2021759	2021759	2021759	5	5	5	1945787	1945787	1945787	
328	a	sp|P82912|RT11_HUMAN	P82912	RT11_HUMAN	MRPS11	194	43	Homo sapiens OX=9606	1:Experimental evidence at protein level	"28S ribosomal protein S11, mitochondrial "	1	0.999	6	19	19	19	4	4	4	2226620	2226620	2226620	3	3	3	3468215	3468215	3468215	2	2	2	3022846	3022846	3022846	4	4	4	1813706	1813706	1813706	5	5	5	3053346	3053346	3053346	1	1	1	0	0	0	
329	a	sp|P82921|RT21_HUMAN	P82921	RT21_HUMAN	MRPS21	87	29	Homo sapiens OX=9606	1:Experimental evidence at protein level	"28S ribosomal protein S21, mitochondrial "	1	0.999	2	6	6	6	1	1	1	239915	239915	239915	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	407552	407552	407552	1	1	1	0	0	0	1	1	1	116888	116888	116888	
330	a	sp|P82979|SARNP_HUMAN	P82979	SARNP_HUMAN	SARNP	210	20	Homo sapiens OX=9606	1:Experimental evidence at protein level	SAP domain-containing ribonucleoprotein 	1	0.999	4	6	6	6	1	1	1	250562	250562	250562	4	4	4	4770495	4770495	4770495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	599025	599025	599025	
331	a	sp|P83731|RL24_HUMAN	P83731	RL24_HUMAN	RPL24	157	47	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L24 	1	0.999	11	42	42	42	7	7	7	12095012	12095012	12095012	8	8	8	20675918	20675918	20675918	10	10	10	26494364	26494364	26494364	6	6	6	10783278	10783278	10783278	5	5	5	7580603	7580603	7580603	6	6	6	21250313	21250313	21250313	
332	a	sp|P83881|RL36A_HUMAN	P83881	RL36A_HUMAN	RPL36A	106	51	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L36a 	1	0.999	10	51	11	11	10	2	2	38855057	14675307	14675307	10	2	2	75027780	19976943	19976943	11	2	2	58671715	17531262	17531262	7	2	2	32850644	8652651	8652651	6	1	1	30593735	5198214	5198214	7	2	2	44027200	11443422	11443422	
333	a	sp|P83916|CBX1_HUMAN	P83916	CBX1_HUMAN	CBX1	185	23	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromobox protein homolog 1 	1	0.999	3	10	5	5	1	0	0	128342	0	0	6	3	3	3287538	2815720	2815720	0	0	0	0	0	0	3	2	2	1222409	1020081	1020081	0	0	0	0	0	0	0	0	0	0	0	0	
334	a	sp|P84090|ERH_HUMAN	P84090	ERH_HUMAN	ERH	104	30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Enhancer of rudimentary homolog 	1	0.999	3	9	9	9	2	2	2	1126149	1126149	1126149	3	3	3	2609735	2609735	2609735	2	2	2	341756	341756	341756	2	2	2	13227859	13227859	13227859	0	0	0	0	0	0	0	0	0	0	0	0	
335	a	sp|P84098|RL19_HUMAN	P84098	RL19_HUMAN	RPL19	196	21	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L19 	1	0.999	4	20	20	20	4	4	4	2668219	2668219	2668219	3	3	3	4238166	4238166	4238166	1	1	1	1065584	1065584	1065584	4	4	4	5939214	5939214	5939214	4	4	4	1300325	1300325	1300325	4	4	4	3070828	3070828	3070828	
336	a	sp|P84101|SERF2_HUMAN	P84101	SERF2_HUMAN	SERF2	59	33	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small EDRK-rich factor 2 	1	0.999	4	11	11	11	1	1	1	676000	676000	676000	3	3	3	5071634	5071634	5071634	1	1	1	1120485	1120485	1120485	2	2	2	3400749	3400749	3400749	1	1	1	1949941	1949941	1949941	3	3	3	8624117	8624117	8624117	
337	a	sp|P84103|SRSF3_HUMAN	P84103	SRSF3_HUMAN	SRSF3	164	46	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 3 	1	0.999	12	55	53	55	9	9	9	20128324	20128324	20128324	11	10	11	37393393	37393393	37393393	13	12	13	22248203	22248203	22248203	7	7	7	17231636	17231636	17231636	6	6	6	11880865	11880865	11880865	9	9	9	24488401	24488401	24488401	
338	a	sp|P99999|CYC_HUMAN	P99999	CYC_HUMAN	CYCS	105	56	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c 	1	0.999	6	16	16	16	3	3	3	2119341	2119341	2119341	4	4	4	3636871	3636871	3636871	4	4	4	2192321	2192321	2192321	2	2	2	880990	880990	880990	2	2	2	816493	816493	816493	1	1	1	380119	380119	380119	
339	a	sp|Q00013|EM55_HUMAN	Q00013	EM55_HUMAN	MPP1	466	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	55 kDa erythrocyte membrane protein 	1	0.999	4	8	8	8	2	2	2	454037	454037	454037	1	1	1	374709	374709	374709	1	1	1	0	0	0	2	2	2	223168	223168	223168	1	1	1	190263	190263	190263	1	1	1	298792	298792	298792	
340	a	sp|Q00059|TFAM_HUMAN	Q00059	TFAM_HUMAN	TFAM	246	38	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Transcription factor A, mitochondrial "	1	0.999	10	32	32	32	6	6	6	3997480	3997480	3997480	5	5	5	6819142	6819142	6819142	5	5	5	4047444	4047444	4047444	6	6	6	5178697	5178697	5178697	4	4	4	2998724	2998724	2998724	6	6	6	4390675	4390675	4390675	
341	a	sp|Q00325|MPCP_HUMAN	Q00325	MPCP_HUMAN	SLC25A3	362	24	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Phosphate carrier protein, mitochondrial "	1	0.999	11	26	26	26	4	4	4	5868038	5868038	5868038	5	5	5	7020066	7020066	7020066	4	4	4	3096154	3096154	3096154	3	3	3	3617391	3617391	3617391	6	6	6	4701125	4701125	4701125	4	4	4	3120575	3120575	3120575	
342	a	sp|Q00610|CLH1_HUMAN	Q00610	CLH1_HUMAN	CLTC	1675	2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Clathrin heavy chain 1 	1	0.999	3	2	2	2	1	1	1	334920	334920	334920	1	1	1	306220	306220	306220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
343	a	sp|Q00688|FKBP3_HUMAN	Q00688	FKBP3_HUMAN	FKBP3	224	51	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP3 	1	0.999	12	42	42	42	3	3	3	2024087	2024087	2024087	12	12	12	30414978	30414978	30414978	10	10	10	8315991	8315991	8315991	3	3	3	3907688	3907688	3907688	1	1	1	502584	502584	502584	13	13	13	24009046	24009046	24009046	
344	a	sp|Q01780|EXOSX_HUMAN	Q01780	EXOSX_HUMAN	EXOSC10	885	3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exosome component 10 	1	0.9978	3	5	5	5	1	1	1	850518	850518	850518	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1417407	1417407	1417407	1	1	1	726021	726021	726021	1	1	1	1362553	1362553	1362553	
345	a	sp|Q01844|EWS_HUMAN	Q01844	EWS_HUMAN	EWSR1	656	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein EWS 	1	0.999	8	22	22	22	2	2	2	1178440	1178440	1178440	2	2	2	1252503	1252503	1252503	4	4	4	1941789	1941789	1941789	6	6	6	3943835	3943835	3943835	5	5	5	3169777	3169777	3169777	3	3	3	4540577	4540577	4540577	
346	a	sp|Q02543|RL18A_HUMAN	Q02543	RL18A_HUMAN	RPL18A	176	38	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L18a 	1	0.999	7	18	18	18	4	4	4	3802826	3802826	3802826	5	5	5	5050699	5050699	5050699	1	1	1	617795	617795	617795	5	5	5	7204504	7204504	7204504	1	1	1	600596	600596	600596	2	2	2	945379	945379	945379	
347	a	sp|Q02790|FKBP4_HUMAN	Q02790	FKBP4_HUMAN	FKBP4	459	11	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP4 	1	0.999	4	4	4	4	1	1	1	294496	294496	294496	0	0	0	0	0	0	1	1	1	176351	176351	176351	0	0	0	0	0	0	1	1	1	229053	229053	229053	1	1	1	0	0	0	
348	a	sp|Q02878|RL6_HUMAN	Q02878	RL6_HUMAN	RPL6	288	40	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L6 	1	0.999	11	17	16	16	4	4	4	3970928	3970928	3970928	5	4	4	4947717	4742366	4742366	0	0	0	0	0	0	8	8	8	8045799	8045799	8045799	0	0	0	0	0	0	0	0	0	0	0	0	
349	a	sp|Q02880|TOP2B_HUMAN	Q02880	TOP2B_HUMAN	TOP2B	1626	7	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA topoisomerase 2-beta 	1	0.999	9	13	5	5	2	1	1	1264789	257720	257720	1	0	0	0	0	0	0	0	0	0	0	0	10	4	4	2913767	903432	903432	0	0	0	0	0	0	0	0	0	0	0	0	
350	a	sp|Q03252|LMNB2_HUMAN	Q03252	LMNB2_HUMAN	LMNB2	620	42	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lamin-B2 	1	0.999	27	44	36	36	2	1	1	1506720	335536	335536	2	0	0	2826916	0	0	0	0	0	0	0	0	20	18	18	11680263	4015814	4015814	15	13	13	6557749	3721667	3721667	5	4	4	4212611	1588709	1588709	
351	a	sp|Q05519|SRS11_HUMAN	Q05519	SRS11_HUMAN	SRSF11	484	18	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 11 	1	0.999	7	33	33	33	5	5	5	2920272	2920272	2920272	7	7	7	6608513	6608513	6608513	7	7	7	5051274	5051274	5051274	3	3	3	1952378	1952378	1952378	4	4	4	2748440	2748440	2748440	7	7	7	6189778	6189778	6189778	
352	a	sp|Q06124|PTN11_HUMAN	Q06124	PTN11_HUMAN	PTPN11	593	21	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein phosphatase non-receptor type 11 	1	0.999	10	11	11	11	0	0	0	0	0	0	3	3	3	867367	867367	867367	3	3	3	852358	852358	852358	4	4	4	979077	979077	979077	1	1	1	1016687	1016687	1016687	0	0	0	0	0	0	
353	a	sp|Q07020|RL18_HUMAN	Q07020	RL18_HUMAN	RPL18	188	35	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L18 	1	0.999	7	12	12	12	2	2	2	2427319	2427319	2427319	4	4	4	6755078	6755078	6755078	0	0	0	0	0	0	6	6	6	7295446	7295446	7295446	0	0	0	0	0	0	0	0	0	0	0	0	
354	a	sp|Q07021|C1QBP_HUMAN	Q07021	C1QBP_HUMAN	C1QBP	282	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Complement component 1 Q subcomponent-binding protein, mitochondrial "	1	0.999	3	9	9	9	2	2	2	689682	689682	689682	2	2	2	1126821	1126821	1126821	1	1	1	577431	577431	577431	2	2	2	857274	857274	857274	2	2	2	344991	344991	344991	0	0	0	0	0	0	
355	a	sp|Q07065|CKAP4_HUMAN	Q07065	CKAP4_HUMAN	CKAP4	602	12	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytoskeleton-associated protein 4 	1	0.999	5	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	878564	878564	878564	1	1	1	0	0	0	3	3	3	1321944	1321944	1321944	
356	a	sp|Q08170|SRSF4_HUMAN	Q08170	SRSF4_HUMAN	SRSF4	494	13	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 4 	1	0.999	8	12	6	12	1	1	1	232572	232572	232572	6	2	6	10291256	4707970	10291256	0	0	0	0	0	0	3	2	3	2749721	650506	2749721	0	0	0	0	0	0	2	1	2	1909398	0	1909398	
357	a	sp|Q08211|DHX9_HUMAN	Q08211	DHX9_HUMAN	DHX9	1270	24	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase A 	1	0.999	25	43	43	43	13	13	13	5721434	5721434	5721434	6	6	6	7521881	7521881	7521881	0	0	0	0	0	0	24	24	24	85357280	85357280	85357280	0	0	0	0	0	0	0	0	0	0	0	0	
358	a	sp|Q08945|SSRP1_HUMAN	Q08945	SSRP1_HUMAN	SSRP1	709	22	Homo sapiens OX=9606	1:Experimental evidence at protein level	FACT complex subunit SSRP1 	1	0.999	15	21	20	20	3	3	3	1255909	1255909	1255909	9	8	8	4773630	3109288	3109288	0	0	0	0	0	0	9	9	9	8934692	8934692	8934692	0	0	0	0	0	0	0	0	0	0	0	0	
139	a	sp|P20674|COX5A_HUMAN	P20674	COX5A_HUMAN	COX5A	150	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Cytochrome c oxidase subunit 5A, mitochondrial "	1	0.999	3	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1304046	1304046	1304046	3	3	3	982985	982985	982985	2	2	2	1425884	1425884	1425884	
